,Feature,Coefficient
0,category_gas_transport,0.23905937
1,amt,0.23238394
2,hour,0.091556065
3,category_grocery_net,0.0719652
4,category_travel,0.049139515
5,gender_M,0.0449237
6,category_shopping_net,0.036613613
7,category_grocery_pos,0.029943293
8,category_home,0.028898554
9,category_misc_pos,0.024632575
10,category_kids_pets,0.024529677
11,category_personal_care,0.024221031
12,category_shopping_pos,0.021009324
13,category_health_fitness,0.01636764
14,category_food_dining,0.011504724
15,category_misc_net,0.010347673
16,month,0.008724295
17,age,0.007186583
18,day_of_the_week,0.0062537403
19,city_pop,0.0061828005
20,day,0.0060899183
21,merch_long,0.0052255904
22,merch_lat,0.0032410691
